"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Adenosine monophosphate","HILIC",-1,"100 - >10000","0.813","11.2","100 - >10000","1.035","8.4","Energy charge","AMP","AMP","C10H14N5O7P",11.585,346.055262,"[M-H]","cpd:C00020","ChEBI:16027","HILICNeg",NA,4,"Mix2",160401,"AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","Adenosine monophosphate","ChEBI:16027",6083,"C10H14N5O7P","UDMBCSSLTHHNCD-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_monophosphates; level 6: Purine_ribonucleoside_monophosphates; level 7: Purine_ribonucleoside_monophosphates; level 8: Purine_ribonucleoside_monophosphates"
"L-Arginine","HILIC",1,"<10 - >10000","0.849","16.8","<10 - >10000","0.933","11.6","Amino Acid","Arginine","Arginine","C6H14N4O2",17.93,175.119501,"[M+H]","cpd:C00062","ChEBI:16467","HILICPos",NA,4,"Mix1",160401,"L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg","Arginine","ChEBI:16467",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
" L-Arginosuccinic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Argininosuccinic Acid","Argininosuccinic Acid","C10H18N4O6",13.69,291.13046,"[M+H]","cpd:C03406","ChEBI:15682","HILICPos",NA,4,"Mix1",170331,"N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid","Argininosuccinic Acid","ChEBI:15682",NA,NA,NA,NA,NA,NA
"L-Asparagine","HILIC",1,"100 - >10000","0.824","16.1","20 - 1000","0.894","6.5","Amino Acid","Asparagine","Asparagine","C4H8N2O3",11.86,133.061318,"[M+H]","cpd:C00152","ChEBI:17196","HILICPos",NA,4,"Mix1",160401,"L-Asparagine; 2-Aminosuccinamic acid","Asparagine","ChEBI:17196",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Asparagine_and_derivatives; level 8: Asparagine_and_derivatives"
"L-Aspartic acid","HILIC",1,"100 - >10000","0.899","37.3","100 - >10000","0.818","11.6","Amino Acid","Aspartic acid","Aspartic acid","C4H7NO4",12.86,134.045334,"[M+H]","cpd:C00049","ChEBI:17053","HILICPos",NA,4,"Mix1",160401,"L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp","Aspartic acid","ChEBI:17053",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Aspartic_acid_and_derivatives; level 8: Aspartic_acid_and_derivatives"
"Adenosine triphosphate","HILIC",-1,"500 - >10000","0.209","75.8","100 - >10000","3.608","23.1","Energy charge","ATP","ATP","C10H16N5O13P3",15.35,505.987929,"[M-H]","cpd:C00002","ChEBI:15422","HILICNeg",NA,4,"Mix2",160401,"ATP; Adenosine 5'-triphosphate","Adenosine triphosphate","ChEBI:15422",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleotides; subclass: Purine_ribonucleotides; level 5: Purine_ribonucleoside_triphosphates; level 6: Purine_ribonucleoside_triphosphates; level 7: Purine_ribonucleoside_triphosphates; level 8: Purine_ribonucleoside_triphosphates"
"Glycine betaine","HILIC",1,"100 - >10000","0.762","7.7","20 - 1000","0.229","1.7","Amino Acid derivative","Betaine","Glycine betaine","C5H11NO2",7.86,118.086804,"[M+H]","cpd:C00719","ChEBI:17750","HILICPos",NA,4,"Mix1",160401,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate","Glycine betaine","ChEBI:17750",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"Butyrylcarnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Butyryl-L-carnitine","carnitine","C11H21NO4",4.47,232.154884,"[M+H]",NA,"ChEBI:21949","HILICPos",NA,4,"Mix1",180130,NA,"Butyrylcarnitine",NA,213144,"C11H21NO4","QWYFHHGCZUCMBN-SECBINFHSA-N","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"3',5'-Cyclic AMP","HILIC",-1,"100 - >10000","0.661","18.7","<10 - 1000","0.859","6.7","Intracellular signaling","cAMP","cAMP","C10H12N5O6P",4.06,328.044698,"[M-H]","cpd:C00575","ChEBI:17489","HILICNeg",NA,4,"Mix2",160401,"3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","cAMP","ChEBI:17489",NA,NA,NA,NA,NA,NA
"Carnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Carnitine","Carnitine","C7H15NO3",10.21,162.113019,"[M+H]","cpd:C00487","ChEBI:17126","HILICPos",NA,1,"Mix1",170331,"Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate","Carnitine","ChEBI:17126",288,"C7H15NO3","PHIQHXFUZVPYII-UHFFFAOYSA-N","C[N+](C)(C)CC(CC(=O)[O-])O","3-hydroxy-4-(trimethylazaniumyl)butanoate","kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Carnitines; level 6: Carnitines; level 7: Carnitines; level 8: Carnitines"
"3',5'-Cyclic GMP","HILIC",-1,"20 - >10000","0.598","19.1","<10 - >10000","0.822","6.4","Intracellular signaling","cGMP","cGMP","C10H12N5O7P",8.8,344.039613,"[M-H]","cpd:C00942","ChEBI:16356","HILICNeg",NA,4,"Mix2",160401,"3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","cGMP","ChEBI:16356",NA,NA,NA,NA,NA,NA
"Chitobiose","HILIC",1,"100 - >10000","0.434","25.7","<10 - >10000","0.299","20.1","Amino sugar","Chitobiose","Chitobiose","C16H28N2O11",10.21,425.177138,"[M+H]","cpd:C01674","ChEBI:28681","HILICPos",NA,4,"Mix2",160401,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","Chitobiose","ChEBI:28681",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: N-acyl-alpha-hexosamines; level 7: N-acyl-alpha-hexosamines; level 8: N-acyl-alpha-hexosamines"
"Choline","HILIC",1,"100 - >10000","0.998","32.7","20 - >10000","0.782","11.6","Vitamin (B-like)","Choline","Choline","C5H14NO",15.265,104.107539,"[M]","cpd:C00114","ChEBI:15354","HILICPos",NA,4,"Mix1",160401,"Choline; Bilineurine","Choline","ChEBI:15354",305,"C5H14NO+","OEYIOHPDSNJKLS-UHFFFAOYSA-N","C[N+](C)(C)CCO","2-hydroxyethyl(trimethyl)azanium","kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Cholines; level 6: Cholines; level 7: Cholines; level 8: Cholines"
"Citric acid","HILIC",-1,"500 - >10000","1.136","25","100 - >10000","0.934","6.9","Organic Acid","Citric Acid","Citric acid","C6H8O7",15.65,191.01918,"[M-H]","cpd:C00158","ChEBI:30769","HILICNeg",NA,4,"Mix2",160401,"Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","Citric acid","ChEBI:16947",311,"C6H8O7","KRKNYBCHXYNGOX-UHFFFAOYSA-N","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives"
"Citrulline","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Citrulline","Citrulline","C6H13N3O3",12.21,176.103517,"[M+H]","cpd:C00327","ChEBI:16349","HILICPos",NA,4,"Mix1",170331,"L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline","Citrulline","ChEBI:16349",9750,"C6H13N3O3","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C(CC(C(=O)O)N)CNC(=O)N","(2S)-2-amino-5-(carbamoylamino)pentanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Creatine","HILIC",1,"20 - >10000","0.945","8.4","<10 - 1000","0.816","3.5","Organic Acid - nitrogenous","Creatine","Creatine","C4H9N3O2",11.34,132.077302,"[M+H]","cpd:C00300","ChEBI:16919","HILICPos",NA,4,"Mix1",160401,"Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine","Creatine","ChEBI:16919",586,"C4H9N3O2","CVSVTCORWBXHQV-UHFFFAOYSA-N","CN(CC(=O)O)C(=N)N","2-[carbamimidoyl(methyl)amino]acetic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives"
"Crotonoyl-CoA","HILIC",-1,"100 - >10000","0.444","19.8","100 - >10000","0.761","16.8","Co-enzyme A","Crotonyl CoA","Crotonoyl-CoA","C25H40N7O17P3S",8.45,834.133609,"[M-H]","cpd:C00877","ChEBI:15473","HILICNeg",NA,4,"Mix1",160401,"Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA","Crotonoyl CoA","ChEBI:15473",5497143,"C25H40N7O17P3S","KFWWCMJSYSSPSK-PAXLJYGASA-N","CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-but-2-enethioate","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Enoyl_CoAs; level 6: 2-enoyl_CoAs; level 7: 2-enoyl_CoAs; level 8: 2-enoyl_CoAs"
"3',5'-Cyclic diGMP","HILIC",-1,"100 - >10000","0.776","13.3","20 - >10000","0.886","15.8","Intracellular signaling","Cyclic diGMP","Cyclic diGMP","C20H24N10O14P2",13.74,689.087051,"[M-H]","cpd:C16463","ChEBI:49537","HILICNeg",NA,4,"Mix2",160401,"3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","Cyclic diGMP","ChEBI:49537",NA,NA,NA,NA,NA,NA
"L-Cysteinylglycine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Cys-Gly","Cys-Gly","C5H10N2O3S",9.53,179.04904,"[M+H]","cpd:C01419","ChEBI:4047","HILICPos",NA,5,"Mix1",170331,"Cys-Gly; L-Cysteinylglycine","Cys Gly","ChEBI:4047",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Dipeptides; level 7: Dipeptides; level 8: Dipeptides"
"Cys-Gly, oxidized","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Cys-Gly oxidized","Cys-Gly oxidized","C10H18N4O6S2",11.85,355.074605,"[M+H]","cpd:C01419",NA,"HILICPos",NA,4,"Mix1",170331,"Cys-Gly; L-Cysteinylglycine","Cys Gly oxidized","ChEBI:4047",NA,NA,NA,NA,NA,NA
"L-Cystathionine","HILIC",1,NA,"0.74","18.3",NA,"0.829","18.5","Amino Acid synthesis","Cystathionine","Cystathionine","C7H14N2O4S",13.14,223.075255,"[M+H]","cpd:C02291","ChEBI:17482","HILICPos",NA,4,"Mix2",160401,"L-Cystathionine","Cystathionine","ChEBI:17482",439258,"C7H14N2O4S","ILRYLPWNYFXEMH-WHFBIAKZSA-N","C(CSCC(C(=O)O)N)C(C(=O)O)N","(2S)-2-amino-4-[(2R)-2-amino-2-carboxyethyl]sulfanylbutanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: L-cysteine-S-conjugates"
"L-Cysteic acid","HILIC",-1,"20 - >10000","0.834","13.6","100 - >10000","0.99","7.5","Sulfur","Cysteic Acid","Cysteic acid","C3H7NO5S",12.15,167.996671,"[M-H]","cpd:C00506","ChEBI:17285","HILICNeg",NA,4,"Mix2",160401,"L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid","Cysteic acid","ChEBI:17285",72886,"C3H7NO5S","XVOYSCVBGLVSOL-REOHCLBHSA-N","C(C(C(=O)O)N)S(=O)(=O)O","(2R)-2-amino-3-sulfopropanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"L-Cysteine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Cysteine","Cysteine","C3H7NO2S",7,122.027576,"[M+H]","cpd:C00097","ChEBI:17561","HILICPos",NA,NA,NA,NA,"L-Cysteine; L-2-Amino-3-mercaptopropionic acid","Cysteine","ChEBI:17561",5862,"C3H7NO2S","XUJNEKJLAYXESH-REOHCLBHSA-N","C(C(C(=O)O)N)S","(2R)-2-amino-3-sulfanylpropanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: Cysteine_and_derivatives"
"L-Cystine","HILIC",1,"10000 - >10000","0.385","15.4","100 - >10000","0.261","15.1","Amino Acid","Cystine","Cystine","C6H12N2O4S2",13.1,241.031677,"[M+H]","cpd:C00491","ChEBI:16283","HILICPos",NA,4,"Mix1",160401,"L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid","Cystine","ChEBI:16283",67678,"C6H12N2O4S2","LEVWYRKDKASIDU-IMJSIDKUSA-N","C(C(C(=O)O)N)SSCC(C(=O)O)N","(2R)-2-amino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]propanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: L-cysteine-S-conjugates"
"Cytidine","HILIC",-1,"100 - >10000","0.348","18.4","100 - 1000","0.518","7.7","Nucleoside","Cytidine","Cytidine","C9H13N3O5",8.55,242.077697,"[M-H]","cpd:C00475","ChEBI:17562","HILICNeg",NA,4,"Mix2",160401,"Cytidine","Cytidine","ChEBI:17562",6175,"C9H13N3O5","UHDGCWIWMRVCDJ-XVFCMESISA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_nucleosides; level 5: Pyrimidine_nucleosides; level 6: Pyrimidine_nucleosides; level 7: Pyrimidine_nucleosides; level 8: Pyrimidine_nucleosides"
"Cytidine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleoside","Cytidine","Cytidine","C9H13N3O5",8.55,244.093347,"[M+H]","cpd:C00475","ChEBI:17562","HILICPos",NA,4,"Mix2",160401,"Cytidine","Cytidine","ChEBI:17562",6175,"C9H13N3O5","UHDGCWIWMRVCDJ-XVFCMESISA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_nucleosides; level 5: Pyrimidine_nucleosides; level 6: Pyrimidine_nucleosides; level 7: Pyrimidine_nucleosides; level 8: Pyrimidine_nucleosides"
"Cytosine","HILIC",-1,"10000 - >10000","dl","dl","500 - >10000","dl","dl","Nucleic Acid","Cytosine","Cytosine","C4H5N3O",7.41,110.035437,"[M-H]","cpd:C00380","ChEBI:16040","HILICNeg",NA,4,"Mix2",160401,"Cytosine","Cytosine","ChEBI:16040",597,"C4H5N3O","OPTASPLRGRRNAP-UHFFFAOYSA-N","C1=C(NC(=O)N=C1)N","6-amino-1H-pyrimidin-2-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Pyrimidones; level 6: Pyrimidones; level 7: Pyrimidones; level 8: Pyrimidones"
"Cytosine","HILIC",1,NA,NA,NA,NA,NA,NA,"Nucleic Acid","Cytosine","Cytosine","C4H5N3O",7.41,112.051087,"[M+H]","cpd:C00380","ChEBI:16040","HILICPos",NA,4,"Mix2",160401,"Cytosine","Cytosine","ChEBI:16040",597,"C4H5N3O","OPTASPLRGRRNAP-UHFFFAOYSA-N","C1=C(NC(=O)N=C1)N","6-amino-1H-pyrimidin-2-one","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Pyrimidones; level 6: Pyrimidones; level 7: Pyrimidones; level 8: Pyrimidones"
"Dihydroxyacetone phosphate","HILIC",-1,"10000 - >10000","0.52","12.5","500 - >10000","0.921","15.8","Calvin cycle intermediate","DHAP","DHAP","C3H7O6P",12.86,168.990203,"[M-H]","cpd:C00111","ChEBI:16108","HILICNeg",NA,4,"Mix2",160401,"Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate","Dihydroxyacetone phosphate","ChEBI:16108",668,"C3H7O6P","GNGACRATGGDKBX-UHFFFAOYSA-N","C(C(=O)COP(=O)(O)O)O","(3-hydroxy-2-oxopropyl) dihydrogen phosphate","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Monosaccharides; level 6: Monosaccharide_phosphates; level 7: Monosaccharide_phosphates; level 8: Monosaccharide_phosphates"
"(R)-2,3-Dihydroxypropane-1-sulfonate","HILIC",-1,"<10 - 1000","0.548","15.2","<10 - 1000","0.712","18.2","Sulfur","DHPS","DHPS","C3H8O5S",10.67,155.001422,"[M-H]","cpd:C19675","ChEBI:60997","HILICNeg",NA,4,"Mix2",160401,"(R)-2,3-Dihydroxypropane-1-sulfonate","DHPS",NA,NA,NA,NA,NA,NA,NA
"Dimethylglycine","HILIC",1,"100 - >10000","0.464","11.8","<10 - 1000","0.773","5.2","Amino Acid derivative","Dimethyl Glycine","DMG","C4H9NO2",8.97,104.071154,"[M+H]","cpd:C01026","ChEBI:17724","HILICPos",NA,4,"Mix1",160401,"N,N-Dimethylglycine; Dimethylglycine","Dimethylglycine","ChEBI:17724",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"DL-Alanine, 2H3","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","DL-Alanine, D3","Alanine, 2H3","C3H4D3NO2",11.3,93.0738,"[M+H]",NA,NA,"HILICPos",NA,5,NA,160401,NA,"Alanine 2H3",NA,NA,NA,NA,NA,NA,NA
"DL-Histidine, 15N","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","DL-Histidine, 15N","Histidine, 15N","C6H9N3N(15)O2",11.45,157.0738,"[M+H]",NA,NA,"HILICPos",NA,2.5,NA,160401,NA,"Histidine 15N",NA,NA,NA,NA,NA,NA,NA
"DL-Proline, 2H7","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","DL-Proline, D7","Proline, 2H7","C5H3D7NO2",9.49,123.1145,"[M+H]",NA,NA,"HILICPos",NA,1,NA,170301,NA,"Proline 2H7",NA,NA,NA,NA,NA,NA,NA
"DL-Valine, 2H8","HILIC",1,NA,NA,NA,NA,NA,NA,"Internal Standard","DL-Valine, D8","Valine, 2H8","C5H4D8NO2",9.09,126.1365,"[M+H]",NA,NA,"HILICPos",NA,1,NA,170301,NA,"Valine 2H8",NA,NA,NA,NA,NA,NA,NA
"Dimethylsulfoniopropionate","HILIC",1,"<10 - >10000","0.324","10","<10 - 1000","0.278","9","Sulfur","DMSP","DMSP","C5H10O2S",9.325,135.047977,"[M+H]","cpd:C04022","ChEBI:16457","HILICPos",NA,4,"Mix2",160401,"S,S-Dimethyl-beta-propiothetin; S-Dimethylsulfonium propionic acid; Dimethylpropiothetin; DMPT; DMSP","Dimethylsulfoniopropionate","ChEBI:16457",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Carboxylic_acid_derivatives; level 5: Carboxylic_acid_salts; level 6: Carboxylic_acid_salts; level 7: Carboxylic_acid_salts; level 8: Carboxylic_acid_salts"
"Ectoine","HILIC",-1,"100 - >10000","0.544","14","500 - 1000","1.894","12.8","Osmolyte","Ectoine","Ectoine","C6H10N2O2",9.25,141.066403,"[M-H]","cpd:C06231","ChEBI:27592","HILICNeg",NA,8,"Mix2",160401,"Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate","Ectoine","ChEBI:27592",126041,"C6H10N2O2","WQXNXVUDBPYKBA-YFKPBYRVSA-N","CC1=NCCC(N1)C(=O)O","(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Ectoine","HILIC",1,NA,NA,NA,NA,NA,NA,"Osmolyte","Ectoine","Ectoine","C6H10N2O2",9.25,143.082053,"[M+H]","cpd:C06231","ChEBI:27592","HILICPos",NA,8,"Mix2",160401,"Ectoine; L-Ectoine; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate","Ectoine","ChEBI:27592",126041,"C6H10N2O2","WQXNXVUDBPYKBA-YFKPBYRVSA-N","CC1=NCCC(N1)C(=O)O","(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"5-Hydroxyectoine","HILIC",1,NA,NA,NA,NA,NA,NA,"Osmolyte","Hydroxyectoine","Hydroxyectoine","C6H10N2O3",11.07,159.076968,"[M+H]","cpd:C16432","ChEBI:49432","HILICPos",NA,0.1,"Mix2",160401,"5-Hydroxyectoine","Hydroxyectoine","ChEBI:49432",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Ethanesulfonic acid","HILIC",-1,NA,NA,NA,NA,NA,NA,"Sulfur","Ethanesulfonic Acid","Ethanesulfonic Acid","C2H6O3S",4.29,108.995942,"[M-H]",NA,"ChEBI:42465","HILICNeg",NA,4,"Mix2",160401,NA,"Ethanesulfonic acid",NA,11668,"C2H6O3S","CCIVGXIOQKPBKL-UHFFFAOYSA-N","CCS(=O)(=O)O","ethanesulfonic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
