"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"Acetylglycine",116.034769,7.81,-1,"HILIC","Mix1",5,"[M-H]","Aq","Amino Acid derivative","C4H7NO3",NA,NA,NA,NA,NA,"2-acetamidoacetic acid","OKJIRPAQVSHGFK-UHFFFAOYSA-N","CC(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Acetylglycine","Acetylglycine","Acetylglycine",190715,TRUE
"Butyrylglycine",144.066069,2.92,-1,"HILIC","Mix1",4,"[M-H]","Aq","Amino Acid derivative","C6H11NO3",NA,NA,NA,NA,NA,"2-(butanoylamino)acetic acid","WPSSBBPLVMTKRN-UHFFFAOYSA-N","CCCC(=O)NCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: N-acyl-alpha amino acids and derivatives; level 8: N-acyl-alpha amino acids","Butyrylglycine","Butyrylglycine","Butyrylglycine",190715,TRUE
"Ergothioneine",230.096324,11.29,1,"HILIC","Mix1",4,"[M+H]","Aq","Betaine","C9H15N3O2S","C9H15N3O2S",5351619,"cpd:C05570","Ergothioneine","ChEBI:4828","(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate","SSISHJJTAXXQAX-ZETCQYMHSA-N","C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Histidine and derivatives","Ergothioneine","Ergothioneine","Ergothioneine",190715,TRUE
"Glutamylphenylalanine",295.129398,9.55,1,"HILIC","Mix1",4,"[M+H]","Aq","Dipeptide","C14H18N2O5","C14H18N2O5",558649,NA,NA,NA,"2-amino-5-[(1-carboxy-2-phenylethyl)amino]-5-oxopentanoic acid","XHHOHZPNYFQJKL-UHFFFAOYSA-N","C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides","Glutamylphenylalanine","GMPA","Glutamylphenylalanine",190715,TRUE
"Glutamylphenylalanine",293.113748,9.55,-1,"HILIC","Mix1",4,"[M-H]","Aq","Dipeptide","C14H18N2O5","C14H18N2O5",558649,NA,NA,NA,"2-amino-5-[(1-carboxy-2-phenylethyl)amino]-5-oxopentanoic acid","XHHOHZPNYFQJKL-UHFFFAOYSA-N","C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides","Glutamylphenylalanine","GMPA","Glutamylphenylalanine",190715,FALSE
"N-Acetyl-L-glutamic acid",188.055899,11.84,-1,"HILIC","Mix1",4,"[M-H]","Aq","Amino Acid derivative","C7H11NO5","C7H11NO5",70914,"cpd:C00624","N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid","ChEBI:172431","(2S)-2-acetamidopentanedioic acid","RFMMMVDNIPUKGG-YFKPBYRVSA-N","CC(=O)NC(CCC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives","Acetylglutamic acid","Acetylglutamic acid","Acetylglutamic acid",190715,NA
"N-Acetyl-L-glutamic acid",190.071549,11.84,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid derivative","C7H11NO5","C7H11NO5",70914,"cpd:C00624","N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid","ChEBI:172431","(2S)-2-acetamidopentanedioic acid","RFMMMVDNIPUKGG-YFKPBYRVSA-N","CC(=O)NC(CCC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives","Acetylglutamic acid","Acetylglutamic acid","Acetylglutamic acid",190715,FALSE
"(3-Carboxypropyl)trimethylammonium",146.118104,9.91,1,"HILIC","Mix1",4,"[M]","Aq","Betaine","C7H16NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB","TMAB",190715,TRUE
"Adenine",136.06232,4.72,1,"HILIC","Mix1",4,"[M+H]","Aq","Nucleic Acid","C5H5N5","C5H5N5",190,"cpd:C00147","Adenine; 6-Aminopurine","ChEBI:16708","7H-purin-6-amine","GFFGJBXGBJISGV-UHFFFAOYSA-N","C1=NC2=NC=NC(=C2N1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines","Adenine","Adenine","Adenine",160401,TRUE
"Adenine",134.0462,4.72,-1,"HILIC","Mix1",4,"[M-H]","Aq","Nucleic Acid","C5H5N5","C5H5N5",190,"cpd:C00147","Adenine; 6-Aminopurine","ChEBI:16708","7H-purin-6-amine","GFFGJBXGBJISGV-UHFFFAOYSA-N","C1=NC2=NC=NC(=C2N1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines","Adenine","Adenine","Adenine",160401,FALSE
"Cytosine",110.035437,7.41,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleic Acid","C4H5N3O","C4H5N3O",597,"cpd:C00380","Cytosine","ChEBI:16040","6-amino-1H-pyrimidin-2-one","OPTASPLRGRRNAP-UHFFFAOYSA-N","C1=C(NC(=O)N=C1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones","Cytosine","Cytosine","Cytosine",160401,FALSE
"Cytosine",112.051087,7.41,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleic Acid","C4H5N3O","C4H5N3O",597,"cpd:C00380","Cytosine","ChEBI:16040","6-amino-1H-pyrimidin-2-one","OPTASPLRGRRNAP-UHFFFAOYSA-N","C1=C(NC(=O)N=C1)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones","Cytosine","Cytosine","Cytosine",160401,TRUE
"Guanine",150.041585,8.61,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleic Acid","C5H5N5O","C5H5N5O",135398634,"cpd:C00242","Guanine; 2-Amino-6-hydroxypurine","ChEBI:16235","2-amino-1,7-dihydropurin-6-one","UYTPUPDQBNUYGX-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=N2)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives","Guanine","Guanine","Guanine",160401,FALSE
"Guanine",152.057235,8.61,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleic Acid","C5H5N5O","C5H5N5O",135398634,"cpd:C00242","Guanine; 2-Amino-6-hydroxypurine","ChEBI:16235","2-amino-1,7-dihydropurin-6-one","UYTPUPDQBNUYGX-UHFFFAOYSA-N","C1=NC2=C(N1)C(=O)NC(=N2)N","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives","Guanine","Guanine","Guanine",160401,TRUE
"Thymine",127.050753,3.02,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleic Acid","C5H6N2O2","C5H6N2O2",1135,"cpd:C00178","Thymine; 5-Methyluracil","ChEBI:17821","5-methyl-1H-pyrimidine-2,4-dione","RWQNBRDOKXIBIV-UHFFFAOYSA-N","CC1=CNC(=O)NC1=O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines","Thymine","Thymine","Thymine",160401,FALSE
"Thymine",125.035103,3.02,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleic Acid","C5H6N2O2","C5H6N2O2",1135,"cpd:C00178","Thymine; 5-Methyluracil","ChEBI:17821","5-methyl-1H-pyrimidine-2,4-dione","RWQNBRDOKXIBIV-UHFFFAOYSA-N","CC1=CNC(=O)NC1=O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Hydroxypyrimidines","Thymine","Thymine","Thymine",160401,TRUE
"Uracil",111.019453,4,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleic Acid","C4H4N2O2","C4H4N2O2",1174,"cpd:C00106","Uracil","ChEBI:17568","1H-pyrimidine-2,4-dione","ISAKRJDGNUQOIC-UHFFFAOYSA-N","C1=CNC(=O)NC1=O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Diazines; subclass: Pyrimidines and pyrimidine derivatives; level 5: Pyrimidones","Uracil","Uracil","Uracil",160401,TRUE
"Adenosine",268.10458,4.46,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleoside","C10H13N5O4","C10H13N5O4",60961,"cpd:C00212","Adenosine","ChEBI:16335","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","OIRDTQYFTABQOQ-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Adenosine","Adenosine","Adenosine",160401,TRUE
"Adenosine",266.08948,4.46,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleoside","C10H13N5O4","C10H13N5O4",60961,"cpd:C00212","Adenosine","ChEBI:16335","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","OIRDTQYFTABQOQ-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Adenosine","Adenosine","Adenosine",160401,FALSE
"Cytidine",242.077697,8.55,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleoside","C9H13N3O5","C9H13N3O5",6175,"cpd:C00475","Cytidine","ChEBI:17562","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","UHDGCWIWMRVCDJ-XVFCMESISA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides","Cytidine","Cytidine","Cytidine",160401,FALSE
"Cytidine",244.093347,8.55,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleoside","C9H13N3O5","C9H13N3O5",6175,"cpd:C00475","Cytidine","ChEBI:17562","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","UHDGCWIWMRVCDJ-XVFCMESISA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides","Cytidine","Cytidine","Cytidine",160401,TRUE
"Guanosine",284.099495,9.06,1,"HILIC","Mix2",4,"[M+H]","Aq","Nucleoside","C10H13N5O5","C10H13N5O5",135398635,"cpd:C00387","Guanosine","ChEBI:16750","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Guanosine","Guanosine","Guanosine",160401,TRUE
"Guanosine",282.083845,9.06,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleoside","C10H13N5O5","C10H13N5O5",135398635,"cpd:C00387","Guanosine","ChEBI:16750","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","NYHBQMYGNKIUIF-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Guanosine","Guanosine","Guanosine",160401,FALSE
"Thymidine",241.082448,3.27,-1,"HILIC","Mix1",4,"[M-H]","Aq","Nucleoside","C10H14N2O5","C10H14N2O5",5789,"cpd:C00214","Thymidine; Deoxythymidine","ChEBI:17748","1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","IQFYYKKMVGJFEH-XLPZGREQSA-N","CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides; subclass: Pyrimidine 2'-deoxyribonucleosides","Thymidine","Thymidine","Thymidine",160401,TRUE
"Uridine",243.061713,6.02,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleoside","C9H12N2O6","C9H12N2O6",6029,"cpd:C00299","Uridine","ChEBI:16704","1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione","DRTQHJPVMGBUCF-XVFCMESISA-N","C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleosides","Uridine","Uridine","Uridine",160401,TRUE
"UDP-N-acetylglucosamine",606.073753,12.75,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleotide sugar","C17H27N3O17P2",NA,NA,"cpd:C00043","UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine","ChEBI:16264","[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate","LFTYTUAZOPRMMI-CFRASDGPSA-N","CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleotides; subclass: Pyrimidine nucleotide sugars","UDP-glucosamine","UDP-glucosamine","UDP glucosamine",160401,TRUE
"UDP-glucose",565.047204,13.59,-1,"HILIC","Mix2",4,"[M-H]","Aq","Nucleotide sugar","C15H24N2O17P2",NA,NA,"cpd:C00029","UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose","ChEBI:167608","[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate","HSCJRCZFDFQWRP-JZMIEXBBSA-N","C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Pyrimidine nucleotides; subclass: Pyrimidine nucleotide sugars","UDP-glucose","UDP-glucose","UDP glucose",160401,TRUE
"cis-Aconitic acid",173.008615,14.21,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C6H6O6","C6H6O6",643757,"cpd:C00417","cis-Aconitate; cis-Aconitic acid","ChEBI:16383","(Z)-prop-1-ene-1,2,3-tricarboxylic acid","GTZCVFVGUGFEME-IWQZZHSRSA-N","C(C(=CC(=O)O)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Tricarboxylic acids and derivatives","Aconitic Acid","Aconitic acid","Aconitic acid",160401,TRUE
"Citric acid",191.01918,15.65,-1,"HILIC","Mix2",4,"[M-H]","Aq","Organic Acid","C6H8O7","C6H8O7",311,"cpd:C00158","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","ChEBI:16947","2-hydroxypropane-1,2,3-tricarboxylic acid","KRKNYBCHXYNGOX-UHFFFAOYSA-N","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Tricarboxylic acids and derivatives","Citric Acid","Citric acid","Citric acid",160401,TRUE
"D-Gluconic acid",195.05048,10.79,-1,"HILIC","Mix2",4,"[M-H]","Aq","Organic Acid","C6H12O7",NA,NA,"cpd:C00257","D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid","ChEBI:18391","(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid","RGHNJXZEOKUKBD-SQOUGZDYSA-N","C(C(C(C(C(C(=O)O)O)O)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Sugar acids and derivatives","Gluconic Acid","Gluconic acid","Gluconic acid",160401,TRUE
"Isocitric acid",191.01918,15.65,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C6H8O7","C6H8O7",1198,"cpd:C00311","Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","ChEBI:16087","1-hydroxypropane-1,2,3-tricarboxylic acid","ODBLHEXUDAPZAU-UHFFFAOYSA-N","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Tricarboxylic acids and derivatives","Isocitric Acid","Isocitric acid","Isocitric acid",160401,TRUE
"2-Ketoglutaric acid",145.0137,10.845,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C5H6O5",NA,NA,"cpd:C00026","2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","ChEBI:16810","2-oxopentanedioic acid","KPGXRSRHYNQIFN-UHFFFAOYSA-N","C(CC(=O)O)C(=O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Keto acids and derivatives; subclass: Gamma-keto acids and derivatives","Ketoglutaric Acid","Ketoglutaric acid","Ketoglutaric acid",160401,TRUE
"Malic acid",133.0137,11.97,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C4H6O5","C4H6O5",525,"cpd:C00149","(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid","ChEBI:15589","2-hydroxybutanedioic acid","BJEPYKJPYRNKOW-UHFFFAOYSA-N","C(C(C(=O)O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Hydroxy acids and derivatives; subclass: Beta hydroxy acids and derivatives","Malic Acid","Malic acid","Malic acid",160401,TRUE
"Fumaric acid",115.003135,12.7,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C4H4O4","C4H4O4",444972,"cpd:C00122","Fumarate; Fumaric acid; trans-Butenedioic acid","ChEBI:18012","(E)-but-2-enedioic acid","VZCYOOQTPOCHFL-OWOJBTEDSA-N","C(=CC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Dicarboxylic acids and derivatives","Fumaric Acid","Fumaric acid","Fumaric acid",160401,TRUE
"Lipoic acid",205.035699,2.42,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","C8H14O2S2","C8H14O2S2",6112,"cpd:C00725","Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid","ChEBI:16494","5-[(3R)-dithiolan-3-yl]pentanoic acid","AGBQKNBQESQNJD-SSDOTTSWSA-N","C1CSSC1CCCCC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Dithiolanes; subclass: Lipoic acids and derivatives","Lipoic Acid","Lipoic acid","Lipoic acid",160401,TRUE
"Methylphosphonic acid",94.989808,11,-1,"HILIC","Mix1",4,"[M-H]","Aq","Organic Acid","CH5O3P","CH5O3P",13818,"cpd:C20396","Methylphosphonate",NA,"methylphosphonic acid","YACKEPLHDIMKIO-UHFFFAOYSA-N","CP(=O)(O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic phosphonic acids and derivatives; subclass: Organic phosphonic acids","Methylphosphonic Acid","MPA","Methylphosphonic acid",160401,TRUE
